LECROYWS3024,12427,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,14-Oct-2021 12:49:58,0                 
Time,Ampl
-0.25000088,-0.00666667
-0.24999588,-0.00666667
-0.24999088,-0.01
-0.24998588,-0.01
-0.24998088,-0.01
-0.24997588,-0.00666667
-0.24997088,-0.0166667
-0.24996588,-0.0133333
-0.24996088,-0.0166667
-0.24995588,-0.0133333
-0.24995088,-0.0166667
-0.24994588,-0.0166667
-0.24994088,-0.0166667
-0.24993588,-0.02
-0.24993088,-0.0466667
-0.24992588,-0.02
-0.24992088,-0.02
-0.24991588,-0.02
-0.24991088,-0.02
-0.24990588,-0.0266667
-0.24990088,-0.0233333
-0.24989588,-0.0266667
-0.24989088,-0.0266667
-0.24988588,-0.0266667
-0.24988088,-0.03
-0.24987588,-0.0266667
-0.24987088,-0.02
-0.24986588,-0.0333333
-0.24986088,-0.0333333
-0.24985588,-0.0333333
-0.24985088,-0.0333333
-0.24984588,-0.0366667
-0.24984088,-0.0266667
-0.24983588,-0.0266667
-0.24983088,-0.04
-0.24982588,-0.04
-0.24982088,-0.0366667
-0.24981588,-0.0466667
-0.24981088,-0.0433333
-0.24980588,-0.0433333
-0.24980088,-0.0466667
-0.24979588,-0.0466667
-0.24979088,-0.05
-0.24978588,-0.0466667
-0.24978088,-0.0466667
-0.24977588,-0.05
-0.24977088,-0.0733333
-0.24976588,-0.0466667
-0.24976088,-0.0533333
-0.24975588,-0.0633333
-0.24975088,-0.0533333
-0.24974588,-0.0533333
-0.24974088,-0.0566667
-0.24973588,-0.0566667
-0.24973088,-0.0566667
-0.24972588,-0.0566667
-0.24972088,-0.06
-0.24971588,-0.06
-0.24971088,-0.0666667
-0.24970588,-0.0633333
-0.24970088,-0.0633333
-0.24969588,-0.0633333
-0.24969088,-0.0666667
-0.24968588,-0.0666667
-0.24968088,-0.0766667
-0.24967588,-0.0666667
-0.24967088,-0.0733333
-0.24966588,-0.07
-0.24966088,-0.07
-0.24965588,-0.0733333
-0.24965088,-0.07
-0.24964588,-0.07
-0.24964088,-0.0733333
-0.24963588,-0.0766667
-0.24963088,-0.08
-0.24962588,-0.0766667
-0.24962088,-0.0766667
-0.24961588,-0.0733333
-0.24961088,-0.0833333
-0.24960588,-0.0833333
-0.24960088,-0.08
-0.24959588,-0.08
-0.24959088,-0.0833333
-0.24958588,-0.0833333
-0.24958088,-0.0866667
-0.24957588,-0.0866667
-0.24957088,-0.09
-0.24956588,-0.09
-0.24956088,-0.09
-0.24955588,-0.09
-0.24955088,-0.0933333
-0.24954588,-0.0933333
-0.24954088,-0.09
-0.24953588,-0.1
-0.24953088,-0.0966667
-0.24952588,-0.0966667
-0.24952088,-0.0966667
-0.24951588,-0.106667
-0.24951088,-0.1
-0.24950588,-0.1
-0.24950088,-0.103333
-0.24949588,-0.1
-0.24949088,-0.103333
-0.24948588,-0.1
-0.24948088,-0.113333
-0.24947588,-0.106667
-0.24947088,-0.106667
-0.24946588,-0.11
-0.24946088,-0.106667
-0.24945588,-0.11
-0.24945088,-0.11
-0.24944588,-0.11
-0.24944088,-0.11
-0.24943588,-0.113333
-0.24943088,-0.12
-0.24942588,-0.116667
-0.24942088,-0.116667
-0.24941588,-0.116667
-0.24941088,-0.116667
-0.24940588,-0.116667
-0.24940088,-0.116667
-0.24939588,-0.103333
-0.24939088,-0.12
-0.24938588,-0.12
-0.24938088,-0.123333
-0.24937588,-0.123333
-0.24937088,-0.123333
