LECROYWS3024,12427,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,05-Nov-2021 11:40:47,0                 
Time,Ampl
-0.41200888,-0.0716667
-0.41199888,-0.07
-0.41198888,-0.065
-0.41197888,-0.0666667
-0.41196888,-0.065
-0.41195888,-0.065
-0.41194888,-0.065
-0.41193888,-0.0683333
-0.41192888,-0.0666667
-0.41191888,-0.065
-0.41190888,-0.065
-0.41189888,-0.0666667
-0.41188888,-0.0616667
-0.41187888,-0.0666667
-0.41186888,-0.0666667
-0.41185888,-0.065
-0.41184888,-0.0633333
-0.41183888,-0.065
-0.41182888,-0.0633333
-0.41181888,-0.0566667
-0.41180888,-0.065
-0.41179888,-0.0616667
-0.41178888,-0.0616667
-0.41177888,-0.0616667
-0.41176888,-0.0666667
-0.41175888,-0.0683333
-0.41174888,-0.0566667
-0.41173888,-0.0616667
-0.41172888,-0.0633333
-0.41171888,-0.0633333
-0.41170888,-0.0616667
-0.41169888,-0.06
-0.41168888,-0.06
-0.41167888,-0.0616667
-0.41166888,-0.0616667
-0.41165888,-0.06
-0.41164888,-0.06
-0.41163888,-0.0583333
-0.41162888,-0.06
-0.41161888,-0.0583333
-0.41160888,-0.0583333
-0.41159888,-0.0583333
-0.41158888,-0.0583333
-0.41157888,-0.0566667
-0.41156888,-0.065
-0.41155888,-0.0583333
-0.41154888,-0.0566667
-0.41153888,-0.0583333
-0.41152888,-0.06
-0.41151888,-0.0566667
-0.41150888,-0.0516667
-0.41149888,-0.0583333
-0.41148888,-0.0566667
-0.41147888,-0.0566667
-0.41146888,-0.06
-0.41145888,-0.0566667
-0.41144888,-0.055
-0.41143888,-0.0533333
-0.41142888,-0.055
-0.41141888,-0.055
-0.41140888,-0.055
-0.41139888,-0.0566667
-0.41138888,-0.055
-0.41137888,-0.055
-0.41136888,-0.0566667
-0.41135888,-0.0566667
-0.41134888,-0.055
-0.41133888,-0.0566667
-0.41132888,-0.0566667
-0.41131888,-0.055
-0.41130888,-0.055
-0.41129888,-0.0483333
-0.41128888,-0.055
-0.41127888,-0.0533333
-0.41126888,-0.0533333
-0.41125888,-0.0483333
-0.41124888,-0.055
-0.41123888,-0.0533333
-0.41122888,-0.0516667
-0.41121888,-0.0533333
-0.41120888,-0.0516667
-0.41119888,-0.0533333
-0.41118888,-0.0516667
-0.41117888,-0.0516667
-0.41116888,-0.0516667
-0.41115888,-0.0516667
-0.41114888,-0.0516667
-0.41113888,-0.0516667
-0.41112888,-0.05
-0.41111888,-0.05
-0.41110888,-0.0533333
-0.41109888,-0.0516667
-0.41108888,-0.0533333
-0.41107888,-0.05
-0.41106888,-0.045
-0.41105888,-0.05
-0.41104888,-0.05
-0.41103888,-0.0516667
-0.41102888,-0.0483333
-0.41101888,-0.05
-0.41100888,-0.045
-0.41099888,-0.05
-0.41098888,-0.05
-0.41097888,-0.05
-0.41096888,-0.0516667
-0.41095888,-0.0466667
-0.41094888,-0.0466667
-0.41093888,-0.0466667
-0.41092888,-0.0483333
-0.41091888,-0.0466667
-0.41090888,-0.0466667
-0.41089888,-0.0466667
-0.41088888,-0.0416667
-0.41087888,-0.0466667
-0.41086888,-0.0466667
-0.41085888,-0.0466667
-0.41084888,-0.0466667
-0.41083888,-0.0466667
-0.41082888,-0.0466667
-0.41081888,-0.0433333
-0.41080888,-0.0466667
-0.41079888,-0.045
-0.41078888,-0.0466667
-0.41077888,-0.045
-0.41076888,-0.045
-0.41075888,-0.0383333
-0.41074888,-0.045
-0.41073888,-0.0466667
-0.41072888,-0.045
-0.41071888,-0.0466667
-0.41070888,-0.045
-0.41069888,-0.0466667
-0.41068888,-0.0416667
-0.41067888,-0.0466667
-0.41066888,-0.045
-0.41065888,-0.045
-0.41064888,-0.0433333
-0.41063888,-0.0433333
-0.41062888,-0.0416667
-0.41061888,-0.0466667
-0.41060888,-0.0433333
-0.41059888,-0.0433333
-0.41058888,-0.0416667
-0.41057888,-0.0433333
-0.41056888,-0.05
-0.41055888,-0.0416667
-0.41054888,-0.0433333
-0.41053888,-0.0416667
-0.41052888,-0.0416667
-0.41051888,-0.0416667
-0.41050888,-0.0433333
-0.41049888,-0.04
-0.41048888,-0.0416667
-0.41047888,-0.0416667
-0.41046888,-0.0416667
-0.41045888,-0.0416667
-0.41044888,-0.04
-0.41043888,-0.0433333
-0.41042888,-0.0416667
-0.41041888,-0.04
-0.41040888,-0.04
-0.41039888,-0.0416667
-0.41038888,-0.045
-0.41037888,-0.0383333
-0.41036888,-0.04
-0.41035888,-0.0383333
-0.41034888,-0.04
-0.41033888,-0.04
-0.41032888,-0.0383333
-0.41031888,-0.0416667
-0.41030888,-0.0383333
-0.41029888,-0.0383333
-0.41028888,-0.0366667
-0.41027888,-0.0366667
-0.41026888,-0.0366667
-0.41025888,-0.0333333
-0.41024888,-0.0366667
-0.41023888,-0.0366667
-0.41022888,-0.03
-0.41021888,-0.0366667
-0.41020888,-0.0366667
-0.41019888,-0.0333333
-0.41018888,-0.0366667
-0.41017888,-0.0383333
-0.41016888,-0.0366667
-0.41015888,-0.035
-0.41014888,-0.0333333
-0.41013888,-0.0316667
-0.41012888,-0.0366667
-0.41011888,-0.035
-0.41010888,-0.035
-0.41009888,-0.035
-0.41008888,-0.0366667
-0.41007888,-0.035
-0.41006888,-0.035
-0.41005888,-0.0366667
-0.41004888,-0.0333333
-0.41003888,-0.035
-0.41002888,-0.0366667
-0.41001888,-0.0316667
-0.41000888,-0.03
-0.40999888,-0.0333333
-0.40998888,-0.035
-0.40997888,-0.0333333
-0.40996888,-0.0333333
-0.40995888,-0.0333333
-0.40994888,-0.03
-0.40993888,-0.0316667
-0.40992888,-0.0333333
-0.40991888,-0.0333333
-0.40990888,-0.0316667
-0.40989888,-0.0333333
-0.40988888,-0.0283333
-0.40987888,-0.0333333
-0.40986888,-0.0316667
-0.40985888,-0.0333333
-0.40984888,-0.0316667
-0.40983888,-0.0316667
-0.40982888,-0.03
-0.40981888,-0.0316667
-0.40980888,-0.03
-0.40979888,-0.03
-0.40978888,-0.0266667
-0.40977888,-0.0383333
-0.40976888,-0.0283333
-0.40975888,-0.0333333
-0.40974888,-0.03
-0.40973888,-0.03
-0.40972888,-0.0333333
-0.40971888,-0.03
-0.40970888,-0.0283333
-0.40969888,-0.0233333
-0.40968888,-0.03
-0.40967888,-0.0283333
-0.40966888,-0.03
-0.40965888,-0.03
