LECROYWS3024,12427,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,05-Nov-2021 11:52:40,0                 
Time,Ampl
-0.08240132,0.173067
-0.08239932,0.177
-0.08239732,0.169133
-0.08239532,0.177
-0.08239332,0.177
-0.08239132,0.177
-0.08238932,0.177
-0.08238732,0.173067
-0.08238532,0.161267
-0.08238332,0.177
-0.08238132,0.173067
-0.08237932,0.173067
-0.08237732,0.173067
-0.08237532,0.173067
-0.08237332,0.177
-0.08237132,0.173067
-0.08236932,0.173067
-0.08236732,0.173067
-0.08236532,0.169133
-0.08236332,0.169133
-0.08236132,0.1652
-0.08235932,0.169133
-0.08235732,0.169133
-0.08235532,0.169133
-0.08235332,0.1652
-0.08235132,0.173067
-0.08234932,0.1652
-0.08234732,0.169133
-0.08234532,0.1652
-0.08234332,0.1652
-0.08234132,0.173067
-0.08233932,0.1652
-0.08233732,0.1652
-0.08233532,0.1652
-0.08233332,0.169133
-0.08233132,0.1652
-0.08232932,0.1652
-0.08232732,0.161267
-0.08232532,0.1652
-0.08232332,0.161267
-0.08232132,0.1652
-0.08231932,0.1652
-0.08231732,0.161267
-0.08231532,0.161267
-0.08231332,0.1652
-0.08231132,0.161267
-0.08230932,0.161267
-0.08230732,0.1652
-0.08230532,0.1652
-0.08230332,0.161267
-0.08230132,0.161267
-0.08229932,0.161267
-0.08229732,0.161267
-0.08229532,0.161267
-0.08229332,0.161267
-0.08229132,0.137667
-0.08228932,0.161267
-0.08228732,0.161267
-0.08228532,0.161267
-0.08228332,0.161267
-0.08228132,0.161267
-0.08227932,0.161267
-0.08227732,0.157333
-0.08227532,0.161267
-0.08227332,0.1534
-0.08227132,0.161267
-0.08226932,0.161267
-0.08226732,0.157333
-0.08226532,0.157333
-0.08226332,0.157333
-0.08226132,0.157333
-0.08225932,0.149467
-0.08225732,0.157333
-0.08225532,0.157333
-0.08225332,0.1534
-0.08225132,0.1534
-0.08224932,0.157333
-0.08224732,0.1534
-0.08224532,0.157333
-0.08224332,0.1534
-0.08224132,0.1534
-0.08223932,0.157333
-0.08223732,0.137667
-0.08223532,0.149467
-0.08223332,0.149467
-0.08223132,0.1534
-0.08222932,0.1534
-0.08222732,0.1534
-0.08222532,0.149467
-0.08222332,0.1534
-0.08222132,0.149467
-0.08221932,0.1534
-0.08221732,0.149467
-0.08221532,0.1534
-0.08221332,0.149467
-0.08221132,0.145533
-0.08220932,0.149467
-0.08220732,0.149467
-0.08220532,0.161267
-0.08220332,0.149467
-0.08220132,0.149467
-0.08219932,0.149467
-0.08219732,0.149467
-0.08219532,0.149467
-0.08219332,0.145533
-0.08219132,0.149467
-0.08218932,0.145533
-0.08218732,0.145533
-0.08218532,0.145533
-0.08218332,0.145533
-0.08218132,0.1534
-0.08217932,0.145533
-0.08217732,0.145533
-0.08217532,0.145533
-0.08217332,0.145533
-0.08217132,0.1416
-0.08216932,0.145533
-0.08216732,0.145533
-0.08216532,0.145533
-0.08216332,0.1416
-0.08216132,0.145533
-0.08215932,0.1416
-0.08215732,0.137667
-0.08215532,0.145533
-0.08215332,0.1416
-0.08215132,0.1416
-0.08214932,0.137667
-0.08214732,0.1416
-0.08214532,0.1416
-0.08214332,0.145533
-0.08214132,0.137667
-0.08213932,0.133733
-0.08213732,0.1416
-0.08213532,0.1416
-0.08213332,0.137667
-0.08213132,0.1416
-0.08212932,0.137667
-0.08212732,0.1416
-0.08212532,0.137667
-0.08212332,0.137667
-0.08212132,0.133733
-0.08211932,0.1416
-0.08211732,0.1416
-0.08211532,0.137667
-0.08211332,0.137667
-0.08211132,0.137667
-0.08210932,0.137667
-0.08210732,0.133733
-0.08210532,0.1298
-0.08210332,0.137667
-0.08210132,0.137667
-0.08209932,0.133733
-0.08209732,0.133733
-0.08209532,0.133733
-0.08209332,0.1416
-0.08209132,0.133733
-0.08208932,0.133733
-0.08208732,0.1298
-0.08208532,0.133733
-0.08208332,0.133733
-0.08208132,0.1298
-0.08207932,0.133733
-0.08207732,0.133733
-0.08207532,0.1298
-0.08207332,0.133733
