LECROYWS3024,12427,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,14-Oct-2021 13:21:25,0                 
Time,Ampl
-0.050000672,0.406667
-0.049999672,0.406667
-0.049998672,0.406667
-0.049997672,0.406667
-0.049996672,0.406667
-0.049995672,0.406667
-0.049994672,0.406667
-0.049993672,0.406667
-0.049992672,0.406667
-0.049991672,0.4
-0.049990672,0.4
-0.049989672,0.4
-0.049988672,0.4
-0.049987672,0.4
-0.049986672,0.4
-0.049985672,0.4
-0.049984672,0.4
-0.049983672,0.4
-0.049982672,0.393333
-0.049981672,0.4
-0.049980672,0.4
-0.049979672,0.4
-0.049978672,0.4
-0.049977672,0.4
-0.049976672,0.393333
-0.049975672,0.386667
-0.049974672,0.386667
-0.049973672,0.393333
-0.049972672,0.386667
-0.049971672,0.386667
-0.049970672,0.386667
-0.049969672,0.386667
-0.049968672,0.386667
-0.049967672,0.386667
-0.049966672,0.386667
-0.049965672,0.386667
-0.049964672,0.386667
-0.049963672,0.386667
-0.049962672,0.38
-0.049961672,0.386667
-0.049960672,0.386667
-0.049959672,0.386667
-0.049958672,0.38
-0.049957672,0.38
-0.049956672,0.38
-0.049955672,0.38
-0.049954672,0.38
-0.049953672,0.38
-0.049952672,0.38
-0.049951672,0.38
-0.049950672,0.38
-0.049949672,0.38
-0.049948672,0.38
-0.049947672,0.38
-0.049946672,0.38
-0.049945672,0.38
-0.049944672,0.38
-0.049943672,0.38
-0.049942672,0.38
-0.049941672,0.38
-0.049940672,0.38
-0.049939672,0.38
-0.049938672,0.373333
-0.049937672,0.373333
-0.049936672,0.373333
-0.049935672,0.38
-0.049934672,0.38
-0.049933672,0.373333
-0.049932672,0.373333
-0.049931672,0.373333
-0.049930672,0.373333
-0.049929672,0.373333
-0.049928672,0.366667
-0.049927672,0.373333
-0.049926672,0.373333
-0.049925672,0.366667
-0.049924672,0.373333
-0.049923672,0.366667
-0.049922672,0.366667
-0.049921672,0.366667
-0.049920672,0.366667
-0.049919672,0.366667
-0.049918672,0.366667
-0.049917672,0.366667
-0.049916672,0.366667
-0.049915672,0.366667
-0.049914672,0.366667
-0.049913672,0.366667
-0.049912672,0.366667
-0.049911672,0.366667
-0.049910672,0.366667
-0.049909672,0.36
-0.049908672,0.366667
-0.049907672,0.366667
-0.049906672,0.36
-0.049905672,0.36
-0.049904672,0.36
-0.049903672,0.36
-0.049902672,0.36
-0.049901672,0.36
-0.049900672,0.36
-0.049899672,0.36
-0.049898672,0.36
-0.049897672,0.36
-0.049896672,0.36
-0.049895672,0.36
-0.049894672,0.353333
-0.049893672,0.353333
-0.049892672,0.353333
-0.049891672,0.353333
-0.049890672,0.353333
-0.049889672,0.353333
-0.049888672,0.353333
-0.049887672,0.353333
-0.049886672,0.353333
-0.049885672,0.353333
-0.049884672,0.353333
-0.049883672,0.346667
-0.049882672,0.353333
-0.049881672,0.353333
-0.049880672,0.353333
-0.049879672,0.346667
-0.049878672,0.353333
-0.049877672,0.346667
-0.049876672,0.346667
-0.049875672,0.346667
-0.049874672,0.346667
-0.049873672,0.346667
-0.049872672,0.346667
-0.049871672,0.346667
-0.049870672,0.346667
-0.049869672,0.346667
-0.049868672,0.346667
-0.049867672,0.346667
-0.049866672,0.34
-0.049865672,0.34
-0.049864672,0.34
-0.049863672,0.346667
-0.049862672,0.34
-0.049861672,0.34
-0.049860672,0.34
-0.049859672,0.34
-0.049858672,0.34
-0.049857672,0.333333
-0.049856672,0.34
-0.049855672,0.346667
-0.049854672,0.34
-0.049853672,0.34
-0.049852672,0.333333
-0.049851672,0.34
-0.049850672,0.333333
-0.049849672,0.333333
-0.049848672,0.333333
-0.049847672,0.333333
-0.049846672,0.333333
-0.049845672,0.333333
-0.049844672,0.346667
-0.049843672,0.333333
-0.049842672,0.333333
-0.049841672,0.326667
-0.049840672,0.333333
-0.049839672,0.326667
-0.049838672,0.326667
-0.049837672,0.326667
-0.049836672,0.326667
-0.049835672,0.326667
-0.049834672,0.326667
-0.049833672,0.326667
-0.049832672,0.326667
-0.049831672,0.326667
-0.049830672,0.326667
-0.049829672,0.326667
-0.049828672,0.32
-0.049827672,0.326667
-0.049826672,0.32
-0.049825672,0.32
-0.049824672,0.32
-0.049823672,0.32
-0.049822672,0.32
-0.049821672,0.32
-0.049820672,0.313333
-0.049819672,0.313333
-0.049818672,0.313333
-0.049817672,0.313333
-0.049816672,0.313333
-0.049815672,0.313333
-0.049814672,0.313333
-0.049813672,0.313333
-0.049812672,0.313333
-0.049811672,0.313333
-0.049810672,0.313333
-0.049809672,0.313333
-0.049808672,0.313333
-0.049807672,0.313333
-0.049806672,0.313333
-0.049805672,0.313333
-0.049804672,0.313333
-0.049803672,0.313333
-0.049802672,0.306667
-0.049801672,0.306667
-0.049800672,0.306667
-0.049799672,0.306667
-0.049798672,0.306667
-0.049797672,0.306667
-0.049796672,0.306667
-0.049795672,0.306667
-0.049794672,0.306667
-0.049793672,0.3
-0.049792672,0.306667
-0.049791672,0.3
-0.049790672,0.3
-0.049789672,0.3
-0.049788672,0.3
-0.049787672,0.3
-0.049786672,0.3
-0.049785672,0.3
-0.049784672,0.3
-0.049783672,0.3
-0.049782672,0.3
-0.049781672,0.3
-0.049780672,0.3
-0.049779672,0.293333
-0.049778672,0.293333
-0.049777672,0.293333
-0.049776672,0.3
-0.049775672,0.293333
-0.049774672,0.293333
-0.049773672,0.293333
-0.049772672,0.293333
-0.049771672,0.293333
-0.049770672,0.293333
-0.049769672,0.293333
-0.049768672,0.293333
-0.049767672,0.286667
-0.049766672,0.286667
-0.049765672,0.293333
-0.049764672,0.293333
-0.049763672,0.286667
-0.049762672,0.286667
-0.049761672,0.293333
-0.049760672,0.293333
-0.049759672,0.286667
-0.049758672,0.286667
-0.049757672,0.28
-0.049756672,0.286667
-0.049755672,0.286667
-0.049754672,0.286667
-0.049753672,0.28
-0.049752672,0.28
-0.049751672,0.28
-0.049750672,0.28
-0.049749672,0.28
-0.049748672,0.28
-0.049747672,0.28
-0.049746672,0.28
-0.049745672,0.28
-0.049744672,0.28
-0.049743672,0.273333
-0.049742672,0.28
-0.049741672,0.28
-0.049740672,0.273333
-0.049739672,0.273333
-0.049738672,0.28
-0.049737672,0.273333
-0.049736672,0.273333
-0.049735672,0.28
-0.049734672,0.266667
-0.049733672,0.273333
-0.049732672,0.266667
-0.049731672,0.273333
-0.049730672,0.273333
-0.049729672,0.266667
-0.049728672,0.266667
-0.049727672,0.266667
-0.049726672,0.266667
-0.049725672,0.266667
-0.049724672,0.266667
-0.049723672,0.266667
-0.049722672,0.266667
-0.049721672,0.266667
-0.049720672,0.266667
-0.049719672,0.266667
-0.049718672,0.26
-0.049717672,0.266667
-0.049716672,0.266667
-0.049715672,0.26
-0.049714672,0.26
-0.049713672,0.26
-0.049712672,0.26
-0.049711672,0.26
-0.049710672,0.26
-0.049709672,0.253333
-0.049708672,0.253333
-0.049707672,0.253333
-0.049706672,0.253333
-0.049705672,0.253333
-0.049704672,0.253333
-0.049703672,0.253333
-0.049702672,0.253333
-0.049701672,0.253333
-0.049700672,0.253333
-0.049699672,0.253333
-0.049698672,0.246667
-0.049697672,0.253333
-0.049696672,0.253333
-0.049695672,0.246667
-0.049694672,0.253333
-0.049693672,0.246667
-0.049692672,0.246667
-0.049691672,0.246667
-0.049690672,0.246667
-0.049689672,0.246667
-0.049688672,0.246667
-0.049687672,0.246667
