LECROYWS3024,12427,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,14-Oct-2021 10:03:37,0                 
Time,Ampl
-0.2500033,-0.14
-0.2499983,-0.143333
-0.2499933,-0.143333
-0.2499883,-0.143333
-0.2499833,-0.143333
-0.2499783,-0.14
-0.2499733,-0.136667
-0.2499683,-0.136667
-0.2499633,-0.136667
-0.2499583,-0.136667
-0.2499533,-0.14
-0.2499483,-0.133333
-0.2499433,-0.13
-0.2499383,-0.13
-0.2499333,-0.136667
-0.2499283,-0.13
-0.2499233,-0.13
-0.2499183,-0.126667
-0.2499133,-0.126667
-0.2499083,-0.126667
-0.2499033,-0.123333
-0.2498983,-0.126667
-0.2498933,-0.123333
-0.2498883,-0.12
-0.2498833,-0.12
-0.2498783,-0.12
-0.2498733,-0.12
-0.2498683,-0.12
-0.2498633,-0.116667
-0.2498583,-0.116667
-0.2498533,-0.116667
-0.2498483,-0.113333
-0.2498433,-0.116667
-0.2498383,-0.113333
-0.2498333,-0.113333
-0.2498283,-0.11
-0.2498233,-0.11
-0.2498183,-0.11
-0.2498133,-0.106667
-0.2498083,-0.106667
-0.2498033,-0.106667
-0.2497983,-0.103333
-0.2497933,-0.1
-0.2497883,-0.103333
-0.2497833,-0.103333
-0.2497783,-0.1
-0.2497733,-0.1
-0.2497683,-0.1
-0.2497633,-0.0966667
-0.2497583,-0.0966667
-0.2497533,-0.0966667
-0.2497483,-0.0933333
-0.2497433,-0.09
-0.2497383,-0.0933333
-0.2497333,-0.09
-0.2497283,-0.09
-0.2497233,-0.0866667
-0.2497183,-0.0866667
-0.2497133,-0.09
-0.2497083,-0.0833333
-0.2497033,-0.0833333
-0.2496983,-0.0833333
-0.2496933,-0.08
-0.2496883,-0.08
-0.2496833,-0.08
-0.2496783,-0.0766667
-0.2496733,-0.0766667
-0.2496683,-0.0766667
-0.2496633,-0.0733333
-0.2496583,-0.0766667
-0.2496533,-0.0733333
-0.2496483,-0.07
-0.2496433,-0.0733333
-0.2496383,-0.07
-0.2496333,-0.07
-0.2496283,-0.0833333
-0.2496233,-0.0666667
-0.2496183,-0.0633333
-0.2496133,-0.0633333
-0.2496083,-0.0633333
-0.2496033,-0.06
-0.2495983,-0.06
-0.2495933,-0.06
-0.2495883,-0.06
-0.2495833,-0.0566667
-0.2495783,-0.0533333
-0.2495733,-0.0533333
-0.2495683,-0.0533333
-0.2495633,-0.07
-0.2495583,-0.0466667
-0.2495533,-0.05
-0.2495483,-0.0466667
-0.2495433,-0.0466667
-0.2495383,-0.0466667
-0.2495333,-0.0466667
-0.2495283,-0.0466667
-0.2495233,-0.0433333
-0.2495183,-0.04
-0.2495133,-0.04
-0.2495083,-0.0366667
-0.2495033,-0.0366667
-0.2494983,-0.0366667
-0.2494933,-0.0333333
-0.2494883,-0.0333333
-0.2494833,-0.03
-0.2494783,-0.03
-0.2494733,-0.03
-0.2494683,-0.03
-0.2494633,-0.03
-0.2494583,-0.0233333
-0.2494533,-0.0266667
-0.2494483,-0.0233333
-0.2494433,-0.0233333
-0.2494383,-0.0233333
-0.2494333,-0.0233333
-0.2494283,-0.02
-0.2494233,-0.0166667
-0.2494183,-0.0166667
-0.2494133,-0.0166667
