LECROYWS3024,12427,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,14-Oct-2021 10:38:11,0                 
Time,Ampl
-0.25000337,-0.1
-0.24999837,-0.1
-0.24999337,-0.1
-0.24998837,-0.106667
-0.24998337,-0.1
-0.24997837,-0.1
-0.24997337,-0.1
-0.24996837,-0.1
-0.24996337,-0.1
-0.24995837,-0.1
-0.24995337,-0.1
-0.24994837,-0.0933333
-0.24994337,-0.1
-0.24993837,-0.0933333
-0.24993337,-0.0933333
-0.24992837,-0.0933333
-0.24992337,-0.126667
-0.24991837,-0.0866667
-0.24991337,-0.1
-0.24990837,-0.0933333
-0.24990337,-0.0866667
-0.24989837,-0.0866667
-0.24989337,-0.0933333
-0.24988837,-0.0933333
-0.24988337,-0.08
-0.24987837,-0.08
-0.24987337,-0.0733333
-0.24986837,-0.0866667
-0.24986337,-0.0866667
-0.24985837,-0.08
-0.24985337,-0.08
-0.24984837,-0.08
-0.24984337,-0.08
-0.24983837,-0.0733333
-0.24983337,-0.08
-0.24982837,-0.0733333
-0.24982337,-0.0733333
-0.24981837,-0.0733333
-0.24981337,-0.08
-0.24980837,-0.0733333
-0.24980337,-0.0733333
-0.24979837,-0.0733333
-0.24979337,-0.0733333
-0.24978837,-0.0733333
-0.24978337,-0.0733333
-0.24977837,-0.0666667
-0.24977337,-0.0666667
-0.24976837,-0.0666667
-0.24976337,-0.0666667
-0.24975837,-0.0666667
-0.24975337,-0.0666667
-0.24974837,-0.06
-0.24974337,-0.06
-0.24973837,-0.0666667
-0.24973337,-0.06
-0.24972837,-0.0666667
-0.24972337,-0.0666667
-0.24971837,-0.06
-0.24971337,-0.06
-0.24970837,-0.06
-0.24970337,-0.06
-0.24969837,-0.06
-0.24969337,-0.06
-0.24968837,-0.0533333
-0.24968337,-0.0533333
-0.24967837,-0.0533333
-0.24967337,-0.0533333
-0.24966837,-0.0533333
-0.24966337,-0.0533333
-0.24965837,-0.0533333
-0.24965337,-0.0533333
-0.24964837,-0.0533333
-0.24964337,-0.0533333
-0.24963837,-0.04
-0.24963337,-0.0466667
-0.24962837,-0.0466667
-0.24962337,-0.0466667
-0.24961837,-0.0466667
-0.24961337,-0.0466667
-0.24960837,-0.0466667
-0.24960337,-0.0466667
-0.24959837,-0.0466667
-0.24959337,-0.04
-0.24958837,-0.04
-0.24958337,-0.04
-0.24957837,-0.04
-0.24957337,-0.0333333
-0.24956837,-0.04
-0.24956337,-0.04
-0.24955837,-0.0333333
-0.24955337,-0.0333333
-0.24954837,-0.04
-0.24954337,-0.0333333
-0.24953837,-0.0333333
-0.24953337,-0.0333333
-0.24952837,-0.0333333
-0.24952337,-0.0333333
-0.24951837,-0.0333333
-0.24951337,-0.02
-0.24950837,-0.0266667
-0.24950337,-0.02
-0.24949837,-0.02
-0.24949337,-0.02
-0.24948837,-0.0266667
-0.24948337,-0.0266667
-0.24947837,-0.02
-0.24947337,-0.02
-0.24946837,-0.0266667
-0.24946337,-0.02
-0.24945837,-0.02
-0.24945337,-0.02
-0.24944837,-0.02
-0.24944337,-0.0266667
-0.24943837,-0.02
-0.24943337,-0.02
-0.24942837,-0.02
-0.24942337,-0.0133333
-0.24941837,-0.02
-0.24941337,-0.0133333
-0.24940837,-0.0133333
-0.24940337,-0.0133333
-0.24939837,-0.0133333
-0.24939337,-0.0133333
-0.24938837,-0.0133333
-0.24938337,-0.0133333
-0.24937837,-0.00666667
-0.24937337,-0.00666667
-0.24936837,0.0333333
-0.24936337,-0.00666667
-0.24935837,-0.00666667
-0.24935337,-0.00666667
-0.24934837,-0.00666667
-0.24934337,-0.00666667
-0.24933837,-0.00666667
-0.24933337,-0.04
-0.24932837,-0.00666667
-0.24932337,0
-0.24931837,0
-0.24931337,0
-0.24930837,-0.00666667
-0.24930337,0
-0.24929837,0
-0.24929337,0
-0.24928837,0
-0.24928337,0.00666667
-0.24927837,0.00666667
-0.24927337,0.00666667
-0.24926837,0.00666667
-0.24926337,0.00666667
-0.24925837,0.00666667
-0.24925337,0.00666667
-0.24924837,0.02
-0.24924337,-0.00666667
-0.24923837,0.0133333
-0.24923337,0.0133333
-0.24922837,0.0133333
-0.24922337,0.0133333
-0.24921837,0.0133333
-0.24921337,0.0133333
-0.24920837,0.0133333
-0.24920337,0.0133333
-0.24919837,0.0133333
-0.24919337,0.02
-0.24918837,0.02
-0.24918337,0.0133333
-0.24917837,0.0133333
-0.24917337,0.0133333
-0.24916837,0.02
-0.24916337,0.0266667
-0.24915837,0.02
-0.24915337,0.02
-0.24914837,0.02
-0.24914337,0.0266667
-0.24913837,0.0266667
-0.24913337,0.0266667
-0.24912837,0.0266667
-0.24912337,0.0266667
-0.24911837,0.0266667
-0.24911337,0.0333333
-0.24910837,0.0266667
-0.24910337,0.0266667
-0.24909837,0.02
-0.24909337,0.0266667
-0.24908837,0.0333333
-0.24908337,0.0333333
-0.24907837,0.0333333
-0.24907337,0.0333333
-0.24906837,0.04
-0.24906337,0.0333333
-0.24905837,0.0333333
-0.24905337,0.04
-0.24904837,0.04
-0.24904337,0.0333333
-0.24903837,0.04
-0.24903337,0.04
-0.24902837,0.04
-0.24902337,0.04
-0.24901837,0.0466667
-0.24901337,0.0466667
-0.24900837,0.04
-0.24900337,0.0466667
-0.24899837,0.0466667
-0.24899337,0.0466667
-0.24898837,0.0466667
-0.24898337,0.0466667
-0.24897837,0.0466667
-0.24897337,0.0466667
-0.24896837,0.0466667
-0.24896337,0.0466667
-0.24895837,0.0466667
-0.24895337,0.0533333
-0.24894837,0.0533333
-0.24894337,0.06
-0.24893837,0.0533333
-0.24893337,0.0533333
-0.24892837,0.0533333
-0.24892337,0.06
-0.24891837,0.0533333
-0.24891337,0.06
-0.24890837,0.06
-0.24890337,0.06
-0.24889837,0.0533333
-0.24889337,0.06
-0.24888837,0.0666667
-0.24888337,0.06
-0.24887837,0.0666667
-0.24887337,0.0666667
-0.24886837,0.0666667
-0.24886337,0.14
-0.24885837,0.0666667
-0.24885337,0.0666667
-0.24884837,0.0666667
-0.24884337,0.0666667
-0.24883837,0.0666667
-0.24883337,0.0666667
-0.24882837,0.08
-0.24882337,0.08
-0.24881837,0.08
-0.24881337,0.0733333
-0.24880837,0.08
-0.24880337,0.08
-0.24879837,0.08
-0.24879337,0.08
-0.24878837,0.08
-0.24878337,0.08
-0.24877837,0.08
-0.24877337,0.08
-0.24876837,0.08
-0.24876337,0.08
-0.24875837,0.08
-0.24875337,0.0866667
-0.24874837,0.06
-0.24874337,0.0866667
-0.24873837,0.08
-0.24873337,0.0666667
-0.24872837,0.08
-0.24872337,0.0866667
-0.24871837,0.0866667
-0.24871337,0.0866667
-0.24870837,0.0866667
-0.24870337,0.0933333
-0.24869837,0.0933333
-0.24869337,0.0933333
-0.24868837,0.0933333
-0.24868337,0.0933333
-0.24867837,0.0933333
-0.24867337,0.1
-0.24866837,0.0933333
-0.24866337,0.106667
-0.24865837,0.0933333
-0.24865337,0.0933333
-0.24864837,0.0933333
-0.24864337,0.1
-0.24863837,0.1
-0.24863337,0.1
-0.24862837,0.1
-0.24862337,0.106667
-0.24861837,0.1
-0.24861337,0.106667
-0.24860837,0.1
-0.24860337,0.106667
-0.24859837,0.106667
-0.24859337,0.1
-0.24858837,0.0666667
-0.24858337,0.106667
-0.24857837,0.106667
-0.24857337,0.106667
-0.24856837,0.113333
-0.24856337,0.113333
-0.24855837,0.113333
-0.24855337,0.113333
-0.24854837,0.113333
-0.24854337,0.113333
-0.24853837,0.113333
-0.24853337,0.113333
-0.24852837,0.12
-0.24852337,0.113333
-0.24851837,0.12
-0.24851337,0.12
-0.24850837,0.126667
-0.24850337,0.12
-0.24849837,0.133333
-0.24849337,0.12
-0.24848837,0.12
-0.24848337,0.12
-0.24847837,0.12
-0.24847337,0.12
-0.24846837,0.12
-0.24846337,0.12
-0.24845837,0.12
-0.24845337,0.126667
-0.24844837,0.126667
-0.24844337,0.126667
-0.24843837,0.133333
-0.24843337,0.126667
-0.24842837,0.133333
-0.24842337,0.133333
-0.24841837,0.133333
-0.24841337,0.133333
-0.24840837,0.14
-0.24840337,0.133333
-0.24839837,0.133333
-0.24839337,0.133333
-0.24838837,0.133333
-0.24838337,0.133333
-0.24837837,0.133333
-0.24837337,0.133333
-0.24836837,0.14
-0.24836337,0.14
-0.24835837,0.14
-0.24835337,0.146667
-0.24834837,0.146667
-0.24834337,0.146667
-0.24833837,0.14
-0.24833337,0.146667
-0.24832837,0.146667
-0.24832337,0.146667
-0.24831837,0.146667
-0.24831337,0.153333
-0.24830837,0.146667
-0.24830337,0.126667
-0.24829837,0.146667
-0.24829337,0.153333
-0.24828837,0.146667
-0.24828337,0.153333
-0.24827837,0.166667
-0.24827337,0.153333
-0.24826837,0.16
-0.24826337,0.153333
-0.24825837,0.153333
-0.24825337,0.146667
-0.24824837,0.16
-0.24824337,0.16
-0.24823837,0.16
-0.24823337,0.153333
-0.24822837,0.16
-0.24822337,0.16
-0.24821837,0.16
-0.24821337,0.16
-0.24820837,0.16
-0.24820337,0.16
-0.24819837,0.16
-0.24819337,0.16
-0.24818837,0.166667
-0.24818337,0.18
-0.24817837,0.166667
-0.24817337,0.166667
-0.24816837,0.166667
-0.24816337,0.166667
-0.24815837,0.166667
-0.24815337,0.166667
-0.24814837,0.173333
-0.24814337,0.166667
-0.24813837,0.173333
-0.24813337,0.173333
-0.24812837,0.173333
-0.24812337,0.193333
-0.24811837,0.173333
-0.24811337,0.173333
-0.24810837,0.18
-0.24810337,0.173333
-0.24809837,0.18
-0.24809337,0.18
-0.24808837,0.18
-0.24808337,0.18
-0.24807837,0.186667
-0.24807337,0.18
-0.24806837,0.18
-0.24806337,0.18
-0.24805837,0.18
-0.24805337,0.186667
-0.24804837,0.186667
-0.24804337,0.186667
-0.24803837,0.2
-0.24803337,0.186667
-0.24802837,0.186667
-0.24802337,0.186667
-0.24801837,0.186667
-0.24801337,0.186667
-0.24800837,0.193333
-0.24800337,0.193333
-0.24799837,0.186667
-0.24799337,0.193333
-0.24798837,0.193333
-0.24798337,0.193333
-0.24797837,0.193333
-0.24797337,0.193333
-0.24796837,0.193333
-0.24796337,0.193333
-0.24795837,0.2
-0.24795337,0.193333
-0.24794837,0.2
-0.24794337,0.2
-0.24793837,0.2
-0.24793337,0.2
-0.24792837,0.2
-0.24792337,0.2
-0.24791837,0.2
-0.24791337,0.2
-0.24790837,0.206667
-0.24790337,0.206667
-0.24789837,0.206667
-0.24789337,0.206667
-0.24788837,0.206667
-0.24788337,0.213333
-0.24787837,0.206667
-0.24787337,0.213333
-0.24786837,0.206667
-0.24786337,0.2
-0.24785837,0.213333
-0.24785337,0.213333
-0.24784837,0.206667
-0.24784337,0.206667
-0.24783837,0.213333
-0.24783337,0.213333
-0.24782837,0.213333
-0.24782337,0.22
-0.24781837,0.213333
-0.24781337,0.22
-0.24780837,0.213333
-0.24780337,0.22
-0.24779837,0.213333
-0.24779337,0.22
-0.24778837,0.22
-0.24778337,0.22
-0.24777837,0.22
-0.24777337,0.22
-0.24776837,0.22
-0.24776337,0.22
-0.24775837,0.213333
-0.24775337,0.22
-0.24774837,0.213333
-0.24774337,0.24
-0.24773837,0.226667
-0.24773337,0.226667
-0.24772837,0.226667
-0.24772337,0.226667
-0.24771837,0.226667
-0.24771337,0.226667
-0.24770837,0.226667
-0.24770337,0.226667
-0.24769837,0.226667
-0.24769337,0.233333
-0.24768837,0.24
-0.24768337,0.226667
-0.24767837,0.24
-0.24767337,0.233333
-0.24766837,0.233333
-0.24766337,0.233333
-0.24765837,0.233333
-0.24765337,0.233333
-0.24764837,0.246667
-0.24764337,0.24
-0.24763837,0.24
-0.24763337,0.24
-0.24762837,0.246667
-0.24762337,0.226667
-0.24761837,0.24
-0.24761337,0.24
